name status time real satpart round
/QF_BV/20170501-Heizmann-UltimateAutomizer/modulus_true-unreach-call_true-no-overflow.i_242.smt2 UNKNOWN 120006 120010 1200060 1
/QF_BV/20170531-Hansen-Check/division_by_zero0.smt2 UNSAT 96 137 3 -1
/QF_BV/20170531-Hansen-Check/division_by_zero1.smt2 UNSAT 98 117 7 0
/QF_BV/2017-BuchwaldFried/counterexample.dump.ia32_Mul_base_disp--Add32.load32.Mul32.Mulh_u32.0005.smt2 UNKNOWN 97 95 970 -1
/QF_BV/2017-BuchwaldFried/synthesis.dump.ia32_RorMem_base_index_scale_disp2--Add32.Add32.Add32.Add32.load32.Or32.Or32.store32.am_shl32.0001.smt2 UNKNOWN 129 170 1290 -1
/QF_BV/2017-BuchwaldFried/synthesis.dump.ia32_RorMem_base_index_scale_disp2--Add32.Add32.Add32.Add32.load32.Shl32.Shr32.store32.am_shl32.0001.smt2 UNKNOWN 139 107 1390 -1
/QF_BV/2017-BuchwaldFried/synthesis.dump.ia32_RorMem_base_index_scale_disp2--Add32.Add32.Add32.load32.Minus32.Or32.Shr32.store32.am_shl32.0001.smt2 UNKNOWN 137 102 1370 -1
/QF_BV/2018-Goel-hwbench/QF_BV_collision.1.prop1_cc_reg_max.smt2 UNSAT 157 151 587 3
/QF_BV/2018-Goel-hwbench/QF_BV_collision.1.prop1_cc_reg_to.smt2 UNSAT 108 90 12 0
/QF_BV/2018-Goel-hwbench/QF_BV_needham.1.prop2_cc_ref_max.smt2 UNSAT 794 814 1140 2
/QF_BV/2018-Goel-hwbench/QF_BV_needham.3.prop2_cc_ref_max.smt2 UNSAT 828 885 1157 2
/QF_BV/2018-Goel-hwbench/QF_BV_needham.4.prop3_cc_ref_max.smt2 UNSAT 852 931 1171 4
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1000.smt2 UNSAT 94 108 3 -1
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1001.smt2 UNSAT 96 106 3 -1
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1002.smt2 UNSAT 95 57 3 -1
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1004.smt2 UNSAT 97 135 3 -1
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1010.smt2 UNSAT 98 146 3 -1
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1016.smt2 UNSAT 99 81 3 -1
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1024.smt2 UNSAT 95 70 3 -1
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1025.smt2 UNSAT 97 80 3 -1
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1026.smt2 UNSAT 98 136 4 -1
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1027.smt2 UNSAT 97 56 3 -1
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1028.smt2 UNSAT 97 61 3 -1
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1029.smt2 UNSAT 98 115 3 -1
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1031.smt2 UNSAT 97 129 3 -1
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1037.smt2 UNSAT 95 67 3 -1
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1043.smt2 UNSAT 94 83 3 -1
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_104.smt2 UNSAT 95 104 3 -1
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1055.smt2 UNSAT 91 128 3 -1
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1056.smt2 UNSAT 96 149 3 -1
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1057.smt2 UNSAT 94 94 3 -1
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1059.smt2 UNKNOWN 120008 120008 1200080 60
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1060.smt2 UNSAT 96 56 3 -1
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1064.smt2 UNSAT 93 118 3 -1
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1065.smt2 UNSAT 94 92 3 -1
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1066.smt2 UNKNOWN 120009 120004 1200100 58
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1067.smt2 UNSAT 96 108 3 -1
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1068.smt2 UNSAT 90 76 3 -1
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1069.smt2 UNSAT 94 169 3 -1
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1072.smt2 UNKNOWN 119953 120006 1199530 35
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1074.smt2 UNSAT 94 55 3 -1
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1078.smt2 UNSAT 98 117 3 -1
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1082.smt2 UNSAT 98 133 3 -1
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1083.smt2 UNKNOWN 119988 120010 1199880 67
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1084.smt2 UNSAT 94 83 3 -1
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1085.smt2 UNSAT 98 132 3 -1
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1086.smt2 UNSAT 96 56 3 -1
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1089.smt2 UNSAT 97 108 3 -1
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1092.smt2 UNSAT 99 127 3 -1
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1097.smt2 UNSAT 96 84 3 -1
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1098.smt2 UNSAT 98 73 3 -1
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_109.smt2 UNSAT 97 102 3 -1
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1104.smt2 UNSAT 98 50 3 -1
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1107.smt2 UNSAT 94 142 3 -1
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1108.smt2 UNSAT 94 99 3 -1
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1109.smt2 UNSAT 97 146 3 -1
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_110.smt2 UNSAT 97 114 4 -1
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1111.smt2 UNSAT 156 114 615 0
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1112.smt2 UNSAT 165 154 640 0
/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_111.smt2 UNSAT 96 87 3 -1
