name status time real satpart round
/QF_BV/2018-Goel-hwbench/QF_BV_collision.1.prop1_cc_reg_max.smt2 UNSAT 145 222 850 3
/QF_BV/2018-Goel-hwbench/QF_BV_needham.1.prop2_cc_ref_max.smt2 UNSAT 1078 1140 2695 0
/QF_BV/2018-Goel-hwbench/QF_BV_needham.3.prop2_cc_ref_max.smt2 UNSAT 1082 1241 2378 0
/QF_BV/2018-Goel-hwbench/QF_BV_needham.4.prop3_cc_ref_max.smt2 UNSAT 1128 1206 2615 0
/QF_BV/bmc-bv/ex23.smt2 UNSAT 618 631 5427 3
/QF_BV/bmc-bv/ex2_prime.smt2 UNSAT 142 182 866 0
/QF_BV/bmc-bv/ex30.smt2 UNSAT 1387 1496 11626 0
/QF_BV/bmc-bv/ex33.smt2 UNSAT 193 257 1382 2
/QF_BV/bmc-bv/ex37.smt2 UNSAT 135 113 730 0
/QF_BV/bmc-bv/ex7_prime.smt2 UNSAT 526 611 3542 0
/QF_BV/bmc-bv/intSqRoot.smt2 UNSAT 30831 30961 299685 3
/QF_BV/bmc-bv-svcomp14/gcd_1_true.c.17.smt2 UNSAT 449 451 3706 2
/QF_BV/bmc-bv-svcomp14/gcd_1_true.c.21.smt2 UNSAT 1544 1598 14871 2
/QF_BV/bmc-bv-svcomp14/gcd_2_true.c.17.smt2 UNSAT 2341 2378 22761 1
/QF_BV/bmc-bv-svcomp14/gcd_2_true.c.21.smt2 UNSAT 2865 2918 27947 1
/QF_BV/bmc-bv-svcomp14/gcd_3_true.c.17.smt2 UNSAT 1777 1771 17029 1
/QF_BV/bmc-bv-svcomp14/gcd_3_true.c.21.smt2 UNSAT 1691 1751 16353 1
/QF_BV/bmc-bv-svcomp14/jain_1_true.c.17.smt2 UNSAT 129 143 419 0
/QF_BV/bmc-bv-svcomp14/jain_1_true.c.21.smt2 UNSAT 151 137 523 0
/QF_BV/bmc-bv-svcomp14/jain_2_true.c.17.smt2 UNSAT 182 190 851 0
/QF_BV/bmc-bv-svcomp14/jain_2_true.c.21.smt2 UNSAT 214 225 1072 0
/QF_BV/bmc-bv-svcomp14/jain_4_true.c.17.smt2 UNSAT 250 250 1433 0
/QF_BV/bmc-bv-svcomp14/jain_4_true.c.21.smt2 UNSAT 293 285 1697 0
/QF_BV/bmc-bv-svcomp14/jain_6_true.c.17.smt2 UNSAT 1696 1704 15956 0
/QF_BV/bmc-bv-svcomp14/jain_6_true.c.21.smt2 UNSAT 2023 2102 18910 0
/QF_BV/bmc-bv-svcomp14/jain_7_true.c.17.smt2 UNSAT 1798 1848 17052 0
/QF_BV/bmc-bv-svcomp14/jain_7_true.c.21.smt2 UNSAT 2067 2156 19420 0
/QF_BV/bmc-bv-svcomp14/parity_true.c.17.smt2 UNSAT 129 113 744 9
/QF_BV/bmc-bv-svcomp14/parity_true.c.21.smt2 UNSAT 174 214 1176 9
/QF_BV/bmc-bv-svcomp14/s3_clnt_1_true.BV.c.cil.c.17.smt2 UNSAT 19215 20513 14305 3
/QF_BV/bmc-bv-svcomp14/s3_clnt_1_true.BV.c.cil.c.21.smt2 UNSAT 32623 33803 18550 3
/QF_BV/bmc-bv-svcomp14/s3_clnt_3_true.BV.c.cil.c.17.smt2 UNSAT 17560 18791 2322 0
/QF_BV/bmc-bv-svcomp14/s3_clnt_3_true.BV.c.cil.c.21.smt2 UNSAT 28614 29802 2996 0
/QF_BV/bmc-bv-svcomp14/s3_srvr_1_alt_true.BV.c.cil.c.17.smt2 UNSAT 32730 33952 32941 2
/QF_BV/bmc-bv-svcomp14/s3_srvr_1_alt_true.BV.c.cil.c.21.smt2 UNSAT 55859 59583 69802 2
/QF_BV/bmc-bv-svcomp14/s3_srvr_1_true.BV.c.cil.c.17.smt2 UNSAT 29402 31370 3185 0
/QF_BV/bmc-bv-svcomp14/s3_srvr_1_true.BV.c.cil.c.21.smt2 UNSAT 47643 50795 4046 0
/QF_BV/bmc-bv-svcomp14/s3_srvr_2_alt_true.BV.c.cil.c.17.smt2 UNSAT 32791 34969 4227 0
/QF_BV/bmc-bv-svcomp14/s3_srvr_2_alt_true.BV.c.cil.c.21.smt2 UNSAT 51502 54921 5281 0
/QF_BV/bmc-bv-svcomp14/s3_srvr_2_true.BV.c.cil.c.17.smt2 UNSAT 32793 35072 4254 0
/QF_BV/bmc-bv-svcomp14/s3_srvr_2_true.BV.c.cil.c.21.smt2 UNSAT 51471 54979 5574 0
/QF_BV/bmc-bv-svcomp14/s3_srvr_3_alt_true.BV.c.cil.c.17.smt2 UNSAT 28557 29670 3114 0
/QF_BV/bmc-bv-svcomp14/s3_srvr_3_alt_true.BV.c.cil.c.21.smt2 UNSAT 46166 49301 4098 0
/QF_BV/bmc-bv-svcomp14/s3_srvr_3_true.BV.c.cil.c.17.smt2 UNSAT 29393 31375 3525 0
/QF_BV/bmc-bv-svcomp14/s3_srvr_3_true.BV.c.cil.c.21.smt2 UNSAT 45901 47773 4721 0
/QF_BV/bmc-bv-svcomp14/soft_float_2_true.c.cil.c.17.smt2 UNSAT 125 164 3 -1
/QF_BV/bmc-bv-svcomp14/soft_float_2_true.c.cil.c.21.smt2 UNSAT 149 262 3 -1
/QF_BV/bmc-bv-svcomp14/soft_float_3_true.c.cil.c.17.smt2 UNSAT 113 104 3 -1
/QF_BV/bmc-bv-svcomp14/soft_float_3_true.c.cil.c.21.smt2 UNSAT 158 335 3 -1
/QF_BV/bmc-bv-svcomp14/soft_float_5_true.c.cil.c.17.smt2 UNSAT 111 146 3 -1
/QF_BV/bmc-bv-svcomp14/soft_float_5_true.c.cil.c.21.smt2 UNSAT 145 339 3 -1
/QF_BV/bmc-bv-svcomp14/sum02_true.c.17.smt2 UNSAT 143 145 755 4
/QF_BV/bmc-bv-svcomp14/sum02_true.c.21.smt2 UNSAT 130 121 776 5
/QF_BV/brummayerbiere2/smulov1bw04.smt2 UNSAT 83 64 176 2
/QF_BV/brummayerbiere2/smulov1bw08.smt2 UNSAT 96 110 445 2
/QF_BV/brummayerbiere2/smulov1bw12.smt2 UNSAT 182 165 1227 3
/QF_BV/brummayerbiere2/smulov1bw16.smt2 UNSAT 190 171 1148 2
/QF_BV/brummayerbiere2/smulov1bw24.smt2 UNSAT 560 541 4996 3
/QF_BV/brummayerbiere2/smulov1bw32.smt2 UNSAT 986 989 9233 3
/QF_BV/brummayerbiere2/smulov1bw48.smt2 UNSAT 990 1026 9254 2
/QF_BV/brummayerbiere2/smulov2bw016.smt2 UNSAT 157 219 893 3
/QF_BV/brummayerbiere2/smulov2bw032.smt2 UNSAT 342 358 2888 3
