name status time real satpart round
/QF_BV/2017-BuchwaldFried/counterexample.dump.ia32_Mul_base_disp--Add32.load32.Mul32.Mulh_u32.0005.smt2 UNSAT 0 75 14 -1
/QF_BV/2017-BuchwaldFried/synthesis.dump.ia32_RorMem_base_index_scale_disp2--Add32.Add32.Add32.Add32.load32.Or32.Or32.store32.am_shl32.0001.smt2 UNSAT 19286 19350 192876 -1
/QF_BV/2017-BuchwaldFried/synthesis.dump.ia32_RorMem_base_index_scale_disp2--Add32.Add32.Add32.Add32.load32.Shl32.Shr32.store32.am_shl32.0001.smt2 UNSAT 37114 37141 371204 -1
/QF_BV/2017-BuchwaldFried/synthesis.dump.ia32_RorMem_base_index_scale_disp2--Add32.Add32.Add32.load32.Minus32.Or32.Shr32.store32.am_shl32.0001.smt2 UNSAT 42385 42493 423879 -1
/QF_BV/2018-Goel-hwbench/QF_BV_collision.1.prop1_cc_reg_max.smt2 UNSAT 0 82 5 -1
/QF_BV/2018-Goel-hwbench/QF_BV_needham.1.prop2_cc_ref_max.smt2 UNSAT 33 117 111 -1
/QF_BV/2018-Goel-hwbench/QF_BV_needham.3.prop2_cc_ref_max.smt2 UNSAT 34 110 118 -1
/QF_BV/2018-Goel-hwbench/QF_BV_needham.4.prop3_cc_ref_max.smt2 UNSAT 42 98 128 -1
/QF_BV/bmc-bv/ex23.smt2 UNSAT 18 74 247 -1
/QF_BV/bmc-bv/ex2_prime.smt2 UNSAT 26 47 303 -1
/QF_BV/bmc-bv/ex30.smt2 UNSAT 652 761 6470 -1
/QF_BV/bmc-bv/ex33.smt2 UNSAT 0 9 1 -1
/QF_BV/bmc-bv/ex37.smt2 UNSAT 0 104 36 -1
/QF_BV/bmc-bv/ex7_prime.smt2 UNSAT 373 438 3709 -1
/QF_BV/bmc-bv/intSqRoot.smt2 UNSAT 3370 3492 33236 -1
/QF_BV/bmc-bv-svcomp14/gcd_1_true.c.17.smt2 UNSAT 617 638 6202 -1
/QF_BV/bmc-bv-svcomp14/gcd_1_true.c.21.smt2 UNSAT 706 768 7068 -1
/QF_BV/bmc-bv-svcomp14/gcd_2_true.c.17.smt2 UNSAT 2196 2221 21992 -1
/QF_BV/bmc-bv-svcomp14/gcd_2_true.c.21.smt2 UNSAT 2356 2443 23575 -1
