instance boolectorResult ablectorResult boolectorTime ablectorTime round solvableInLevel(60s)
srem_sdiv_mul/QF_BV/Sage2/bench_13528.smt2 UNSAT UNKNOWN 19621823 1198860000 0 2(round2)
srem_sdiv_mul/QF_BV/Sage2/bench_1471.smt2 UNSAT UNKNOWN 23208336 1188450000 0 2(round2)
srem_sdiv_mul/QF_BV/Sage2/bench_13001.smt2 UNSAT UNKNOWN 39993649 1199820000 0 -
srem_sdiv_mul/QF_BV/Sage2/bench_9793.smt2 UNSAT UNKNOWN 48791492 1199250000 0 -

    srem_sdiv_mul/QF_BV/brummayerbiere2/smulov2bw512.smt2 UNSAT UNKNOWN 191136391 1199650000
    srem_sdiv_mul/QF_BV/log-slicing/bvsdiv_18.smt2 UNSAT UNKNOWN 842413478 1199530000
srem_sdiv_mul/QF_BV/Sage2/bench_10328.smt2 UNSAT UNKNOWN 433074505 1195300000 0
srem_sdiv_mul/QF_BV/Sage2/bench_11010.smt2 UNSAT UNKNOWN 485099383 1198440000 0
srem_sdiv_mul/QF_BV/Sage2/bench_13211.smt2 UNSAT UNKNOWN 912685437 1200330000 0
srem_sdiv_mul/QF_BV/Sage2/bench_13594.smt2 UNSAT UNKNOWN 513268027 1195400000 0
srem_sdiv_mul/QF_BV/Sage2/bench_17707.smt2 UNSAT UNKNOWN 341553218 1199400000 0
srem_sdiv_mul/QF_BV/Sage2/bench_392.smt2 UNSAT UNKNOWN 799890252 1199760000 0
srem_sdiv_mul/QF_BV/Sage2/bench_9036.smt2 UNSAT UNKNOWN 846525462 1199650000 0
srem_sdiv_mul/QF_BV/Sage2/bench_9140.smt2 UNSAT UNKNOWN 599561794 1185610000 0
srem_sdiv_mul/QF_BV/Sage2/bench_9395.smt2 UNSAT UNKNOWN 279050594 1199180000 1

    srem_sdiv_mul/QF_BV/log-slicing/bvurem_16.smt2 UNSAT UNKNOWN 1096092076 1200150000
srem_sdiv_mul/QF_BV/Sage2/bench_188.smt2 UNSAT UNKNOWN 1046447087 1199500000 0
srem_sdiv_mul/QF_BV/Sage2/bench_256.smt2 UNSAT UNKNOWN 1032708566 1200420000 0
