name status time real satpart round boolectorStatus
/raid/steuber/Benchmarks/2019/QF_BV/brummayerbiere2/smulov3bw0896.smt2 UNSAT 8594 8566 83099 1 UNSAT
/raid/steuber/Benchmarks/2019/QF_BV/brummayerbiere2/smulov3bw1024.smt2 UNSAT 11659 11634 113325 1 UNSAT
/raid/steuber/Benchmarks/2019/QF_BV/float/test_v5_r15_vr1_c1_s26845.smt2 UNSAT 86763 86867 862557 1 UNSAT
/raid/steuber/Benchmarks/2019/QF_BV/Sage2/bench_9395.smt2 UNSAT 82575 82685 818792 1 UNSAT
/raid/steuber/Benchmarks/2019/QF_BV/brummayerbiere2/smulov1bw48.smt2 UNSAT 1087 1125 9838 2 UNKNOWN
/raid/steuber/Benchmarks/2019/QF_BV/brummayerbiere2/smulov2bw128.smt2 UNSAT 1334 1362 12091 2 UNSAT
/raid/steuber/Benchmarks/2019/QF_BV/brummayerbiere2/smulov2bw160.smt2 UNSAT 4344 4359 42004 2 UNSAT
/raid/steuber/Benchmarks/2019/QF_BV/brummayerbiere2/smulov2bw192.smt2 UNSAT 4583 4586 44128 2 UNSAT
/raid/steuber/Benchmarks/2019/QF_BV/brummayerbiere2/smulov2bw224.smt2 UNSAT 4423 4425 42372 2 UNSAT
/raid/steuber/Benchmarks/2019/QF_BV/brummayerbiere2/smulov2bw256.smt2 UNSAT 10114 10131 98998 2 UNSAT
/raid/steuber/Benchmarks/2019/QF_BV/brummayerbiere2/smulov2bw320.smt2 UNSAT 28576 28539 283002 2 UNSAT
/raid/steuber/Benchmarks/2019/QF_BV/brummayerbiere2/smulov2bw384.smt2 UNSAT 68404 68427 680730 2 UNSAT
/raid/steuber/Benchmarks/2019/QF_BV/brummayerbiere2/smulov2bw448.smt2 UNSAT 69117 69114 687166 2 UNSAT
/raid/steuber/Benchmarks/2019/QF_BV/brummayerbiere2/umulov1bw192.smt2 UNSAT 3408 3402 32656 2 UNSAT
/raid/steuber/Benchmarks/2019/QF_BV/brummayerbiere2/umulov1bw224.smt2 UNSAT 7273 7284 71197 2 UNSAT
/raid/steuber/Benchmarks/2019/QF_BV/brummayerbiere2/umulov1bw256.smt2 UNSAT 9855 9810 96905 2 UNSAT
/raid/steuber/Benchmarks/2019/QF_BV/2019-Mann/digital-estimation-convergence-bmc-fwd.smt2 UNSAT 36354 36334 360748 3 UNSAT
/raid/steuber/Benchmarks/2019/QF_BV/brummayerbiere2/smulov1bw32.smt2 UNSAT 916 894 8185 3 UNKNOWN
/raid/steuber/Benchmarks/2019/QF_BV/float/mul_000003_30000_1.smt2 UNSAT 31620 31638 314894 3 UNKNOWN
/raid/steuber/Benchmarks/2019/QF_BV/log-slicing/bvudiv_17.smt2 UNSAT 81004 81107 808874 17 UNSAT
